Category,Subcategory_1,Subcategory_2,Subcategory_3,Subcategory_4,Product Name,Date,Price,Quantity (kg|L),URL
Begudes,Aigues,Aigua sense gas,,,"BEZOYA Aigua mineral natural 6x1,5 L",20241104,5.7,9L,https://www.compraonline.bonpreuesclat.cat/products/bezoya-aigua-mineral-natural-6x1-5-l/05804
Begudes,Aigues,Aigua sense gas,,,"VILADRAU Aigua mineral natural 6x1,5 L",20241104,3.78,9L,https://www.compraonline.bonpreuesclat.cat/products/viladrau-aigua-mineral-natural-6x1-5-l/05805
Begudes,Aigues,Aigua sense gas,,,"VERI Aigua mineral natural 6x1,5 L",20241104,4.32,9L,https://www.compraonline.bonpreuesclat.cat/products/veri-aigua-mineral-natural-6x1-5-l/21948
Begudes,Aigues,Aigua sense gas,,,"FONT VELLA Aigua mineral natural 6x1,5 L",20241104,4.38,9L,https://www.compraonline.bonpreuesclat.cat/products/font-vella-aigua-mineral-natural-6x1-5-l/45111
Begudes,Aigues,Aigua sense gas,,,"SOLAN DE CABRAS Aigua mineral natural 6x1,5 L",20241104,5.34,9L,https://www.compraonline.bonpreuesclat.cat/products/solan-de-cabras-aigua-mineral-natural-6x1-5-l/23007
Begudes,Aigues,Aigua sense gas,,,"RIBES Aigua mineral natural 6x1,5 L",20241104,3.3,9L,https://www.compraonline.bonpreuesclat.cat/products/ribes-aigua-mineral-natural-6x1-5-l/25052
Begudes,Aigues,Aigua sense gas,,,FONT VELLA Aigua mineral natural 6x50 cl,20241104,3.84,3L,https://www.compraonline.bonpreuesclat.cat/products/font-vella-aigua-mineral-natural-6x50-cl/38686
Begudes,Aigues,Aigua sense gas,,,VILAS DEL TURBON Aigua mineral natural 6x1 L,20241104,4.8,6L,https://www.compraonline.bonpreuesclat.cat/products/vilas-del-turbón-aigua-mineral-natural-6x1-l/38766
Begudes,Aigues,Aigua sense gas,,,"FONT VELLA SENSACION Aigua amb gust de llimona 6x1,250 L",20241104,10.74,7.5L,https://www.compraonline.bonpreuesclat.cat/products/font-vella-sensación-aigua-amb-gust-de-llimona-6x1-250-l/39098
Begudes,Aigues,Aigua sense gas,,,VILADRAU Aigua mineral natural 6x1 L,20241104,3.54,6L,https://www.compraonline.bonpreuesclat.cat/products/viladrau-aigua-mineral-natural-6x1-l/52411
Begudes,Aigues,Aigua sense gas,,,"FONTBOIX Aigua mineral natural 6x1,5 L",20241104,3.48,9L,https://www.compraonline.bonpreuesclat.cat/products/fontboix-aigua-mineral-natural-6x1-5-l/77783
Begudes,Aigues,Aigua sense gas,,,AQUAREL Aigua mineral natural 6x33 cl,20241104,2.21,1.998L,https://www.compraonline.bonpreuesclat.cat/products/aquarel-aigua-mineral-natural-6x33-cl/41390
Begudes,Aigues,Aigua sense gas,,,AQUAREL Aigua mineral natural 33 cl,20241104,0.49,0.33L,https://www.compraonline.bonpreuesclat.cat/products/aquarel-aigua-mineral-natural-33-cl/68745
Begudes,Aigues,Aigua sense gas,,,FONTBOIX Aigua mineral natural 5 L,20241104,1.46,5L,https://www.compraonline.bonpreuesclat.cat/products/fontboix-aigua-mineral-natural-5-l/14928
Begudes,Aigues,Aigua sense gas,,,VILADRAU Aigua mineral natural 5 L,20241104,1.76,5L,https://www.compraonline.bonpreuesclat.cat/products/viladrau-aigua-mineral-natural-5-l/16101
Begudes,Aigues,Aigua sense gas,,,"MONTSENY Aigua mineral natural 6x1,5 L",20241104,1.5,6 x 1.5L,https://www.compraonline.bonpreuesclat.cat/products/montseny-aigua-mineral-natural-6x1-5-l/62277
Begudes,Aigues,Aigua sense gas,,,"FONT VELLA Aigua mineral natural 6,25 L",20241104,2.29,6.25L,https://www.compraonline.bonpreuesclat.cat/products/font-vella-aigua-mineral-natural-6-25-l/80895
Begudes,Aigues,Aigua sense gas,,,"BONPREU Aigua mineral natural 6x1,5 L",20241104,2.1,9L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-aigua-mineral-natural-6x1-5-l/67770
Begudes,Aigues,Aigua sense gas,,,BEZOYA Aigua mineral natural 5 L,20241104,2.21,5L,https://www.compraonline.bonpreuesclat.cat/products/bezoya-aigua-mineral-natural-5-l/18791
Begudes,Aigues,Aigua sense gas,,,"BEZOYA Aigua mineral natural 6x1,5 L",20241104,5.7,9L,https://www.compraonline.bonpreuesclat.cat/products/bezoya-aigua-mineral-natural-6x1-5-l/05804
Begudes,Aigues,Aigua sense gas,,,"VILADRAU Aigua mineral natural 6x1,5 L",20241104,3.78,9L,https://www.compraonline.bonpreuesclat.cat/products/viladrau-aigua-mineral-natural-6x1-5-l/05805
Begudes,Aigues,Aigua sense gas,,,"FONTBOIX Aigua mineral natural 6x1,5 L",20241104,3.48,9L,https://www.compraonline.bonpreuesclat.cat/products/fontboix-aigua-mineral-natural-6x1-5-l/77783
Begudes,Aigues,Aigua sense gas,,,"FONT VELLA Aigua mineral natural 6x1,5 L",20241104,4.38,9L,https://www.compraonline.bonpreuesclat.cat/products/font-vella-aigua-mineral-natural-6x1-5-l/45111
Begudes,Aigues,Aigua sense gas,,,"RIBES Aigua mineral natural 6x1,5 L",20241104,3.3,9L,https://www.compraonline.bonpreuesclat.cat/products/ribes-aigua-mineral-natural-6x1-5-l/25052
Begudes,Aigues,Aigua sense gas,,,BONPREU Aigua mineral natural 6x50 cl,20241104,1.29,6 x 0.5L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-aigua-mineral-natural-6x50-cl/21630
Begudes,Aigues,Aigua sense gas,,,MONTSENY Aigua mineral natural 8 L,20241104,0.89,8L,https://www.compraonline.bonpreuesclat.cat/products/montseny-aigua-mineral-natural-8-l/06620
Begudes,Aigues,Aigua sense gas,,,VERI Aigua mineral natural 5 L,20241104,2.19,5L,https://www.compraonline.bonpreuesclat.cat/products/veri-aigua-mineral-natural-5-l/08607
Begudes,Aigues,Aigua sense gas,,,BONPREU Aigua mineral natural 8 L,20241104,1.15,8L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-aigua-mineral-natural-8-l/53947
Begudes,Aigues,Aigua sense gas,,,RIBES Aigua mineral natural 6 x 33 cl,20241104,0.99,6 x 0.33L,https://www.compraonline.bonpreuesclat.cat/products/ribes-aigua-mineral-natural-6-x-33-cl/95087
Begudes,Aigues,Aigua sense gas,,,RIBES Aigua mineral natural,20241104,0.29,0.5L,https://www.compraonline.bonpreuesclat.cat/products/ribes-aigua-mineral-natural/89622
Begudes,Aigues,Aigua sense gas,,,"SOLAN DE CABRAS Aigua mineral natural 6x1,5 L",20241104,5.34,9L,https://www.compraonline.bonpreuesclat.cat/products/solan-de-cabras-aigua-mineral-natural-6x1-5-l/23007
