Category,Subcategory_1,Subcategory_2,Subcategory_3,Subcategory_4,Product Name,Date,Price,Quantity (kg|L),URL
Celler,Vins,Blancs,DO Penedes,,COMPTA OVELLES Vi blanc DO Penedes Km0,20241104,4.49,0.75L,https://www.compraonline.bonpreuesclat.cat/products/compta-ovelles-vi-blanc-do-penedès-km0/08128
Celler,Vins,Blancs,DO Penedes,,MASIA FREYE Vi blanc DO Penedes Km0,20241104,8.19,0.75L,https://www.compraonline.bonpreuesclat.cat/products/masia-freye-vi-blanc-do-penedès-km0/04273
Celler,Vins,Blancs,DO Penedes,,VALENT Vi blanc ecologic DO Penedes Km0,20241104,5.25,0.75L,https://www.compraonline.bonpreuesclat.cat/products/valent-vi-blanc-ecològic-do-penedès-km0/48836
Celler,Vins,Blancs,DO Penedes,,VINA ESMERALDA Vi blanc ecologic DO Penedes,20241104,7.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/viña-esmeralda-vi-blanc-ecològic-do-penedès/07952
Celler,Vins,Blancs,DO Penedes,,NOSTRAT Vi blanc DO Penedes Km0,20241104,5.49,0.75L,https://www.compraonline.bonpreuesclat.cat/products/nostrat-vi-blanc-do-penedès-km0/03355
Celler,Vins,Blancs,DO Penedes,,ALSINA SARDA Vi blanc DO Penedes Blanc de Blancs ecologic Km0,20241104,3.75,0.75L,https://www.compraonline.bonpreuesclat.cat/products/alsina-sardà-vi-blanc-do-penedès-blanc-de-blancs-ecològic-km0/36257
Celler,Vins,Blancs,DO Penedes,,BLANC MARINER Vi blanc jove DO Penedes Km0,20241104,4.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/blanc-mariner-vi-blanc-jove-do-penedès-km0/64606
Celler,Vins,Blancs,DO Penedes,,MIREIA Vi blanc DO Penedes Km0,20241104,8.69,0.75L,https://www.compraonline.bonpreuesclat.cat/products/mireia-vi-blanc-do-penedès-km0/14823
Celler,Vins,Blancs,DO Penedes,,BACH Vi blanc semi dolc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/bach-vi-blanc-semi-dolç-do-catalunya-km0/52553
Celler,Vins,Blancs,DO Penedes,,CAN SUMOI Vi blanc DO Penedes ecologic Km0,20241104,11.4,0.75L,https://www.compraonline.bonpreuesclat.cat/products/can-sumoi-vi-blanc-do-penedès-ecològic-km0/63287
Celler,Vins,Blancs,DO Penedes,,COMPTA OVELLES Caixa de vi blanc Do Penedes Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/compta-ovelles-caixa-de-vi-blanc-do-penedès-km0/65653
Celler,Vins,Blancs,DO Penedes,,MASIA FREYE Caixa de vi blanc DO Penedes Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/masia-freye-caixa-de-vi-blanc-do-penedès-km0/54692
Celler,Vins,Blancs,DO Penedes,,CABRO Caixa vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/cabró-caixa-vi-blanc-do-catalunya-km0/66807
Celler,Vins,Blancs,DO Penedes,,VINA ESMERALDA Caixa vi blanc DO Penedes Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/viña-esmeralda-caixa-vi-blanc-do-penedès-km0/67531
Celler,Vins,Blancs,DO Penedes,,NOSTRAT Caixa de vi blanc Do Penedes Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/nostrat-caixa-de-vi-blanc-do-penedès-km0/61167
Celler,Vins,Blancs,DO Penedes,,JUVE CAMPS Caixa vi blanc P. Ermita d'Espiells eco,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/juve-camps-caixa-vi-blanc-p-ermita-d-espiells-eco/84761
Celler,Vins,Blancs,DO Penedes,,CURIOS Vi blanc DO Penedes Curios ecologic Km0,20241104,7.95,0.75L,https://www.compraonline.bonpreuesclat.cat/products/curios-vi-blanc-do-penedès-curiós-ecològic-km0/32830
Celler,Vins,Blancs,DO Penedes,,ALSINA SARDA Caixa vi blanc DO Penedes ecologic Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/alsina-sardà-caixa-vi-blanc-do-penedès-ecològic-km0/22212
Celler,Vins,Blancs,DO Penedes,,XINO-XANO Caixa de vi blanc DO Penedes ecologic,20241104,,4.2L,https://www.compraonline.bonpreuesclat.cat/products/xino-xano-caixa-de-vi-blanc-do-penedès-ecològic/39433
Celler,Vins,Blancs,DO Penedes,,EL XITXARELLO Caixa de vi blanc Do Penedes Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/el-xitxarel-lo-caixa-de-vi-blanc-do-penedès-km0/58147
Celler,Vins,Blancs,DO Penedes,,CABRO Vi blanc DO Penedes Km0,20241104,5.75,0.75L,https://www.compraonline.bonpreuesclat.cat/products/cabró-vi-blanc-do-penedès-km0/10349
Celler,Vins,Blancs,DO Penedes,,AGUSTI TORELLO MATA Vi blanc DO Penedes ecologic Km0,20241104,6.95,0.75L,https://www.compraonline.bonpreuesclat.cat/products/agustí-torelló-mata-vi-blanc-do-penedès-ecològic-km0/47773
Celler,Vins,Blancs,DO Penedes,,GESSAMI Vi blanc DO Penedes ecologic km0,20241104,13.45,0.75L,https://www.compraonline.bonpreuesclat.cat/products/gessamí-vi-blanc-do-penedès-ecològic-km0/69139
Celler,Vins,Blancs,DO Penedes,,EL XITXARELLO Vi blanc DO Penedes Km0,20241104,9.95,0.75L,https://www.compraonline.bonpreuesclat.cat/products/el-xitxarel-lo-vi-blanc-do-penedès-km0/22256
Celler,Vins,Blancs,DO Penedes,,ERMITA D'ESPIELLS Vi blanc Penedes Ermita d'Espiells eco Km0,20241104,9.35,0.75L,https://www.compraonline.bonpreuesclat.cat/products/ermita-d-espiells-vi-blanc-penedès-ermita-d-espiells-eco-km0/27445
Celler,Vins,Blancs,DO Penedes,,TEMPS DE FLORS Vi blanc DO Penedes ecologic km0,20241104,9.95,0.75L,https://www.compraonline.bonpreuesclat.cat/products/temps-de-flors-vi-blanc-do-penedès-ecològic-km0/63289
Celler,Vins,Blancs,DO Penedes,,CAN FEIXES Vi blanc DO Penedes ecologic Km0,20241104,9.35,0.75L,https://www.compraonline.bonpreuesclat.cat/products/can-feixes-vi-blanc-do-penedès-ecològic-km0/14460
Celler,Vins,Blancs,DO Penedes,,XINO-XANO Vi blanc DO Penedes ecologic,20241104,6.29,0.7L,https://www.compraonline.bonpreuesclat.cat/products/xino-xano-vi-blanc-do-penedès-ecològic/38592
Celler,Vins,Blancs,DO Penedes,,HONOR Vi blanc DO Penedes Km0,20241104,5.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/honor-vi-blanc-do-penedès-km0/57449
Celler,Vins,Blancs,DO Penedes,,FINCA LA BOLTANA Vi blanc ecologic DO Penedes Km0,20241104,8.49,0.75L,https://www.compraonline.bonpreuesclat.cat/products/finca-la-boltana-vi-blanc-ecològic-do-penedès-km0/12746
Celler,Vins,Blancs,DO Catalunya,,BACH Vi blanc semi dolc DO Catalunya Km0,20241104,4.19,0.75L,https://www.compraonline.bonpreuesclat.cat/products/bach-vi-blanc-semi-dolç-do-catalunya-km0/01276
Celler,Vins,Blancs,DO Catalunya,,BACH Vi blanc sec DO Catalunya Extrisima Km0,20241104,4.19,0.75L,https://www.compraonline.bonpreuesclat.cat/products/bach-vi-blanc-sec-do-catalunya-extrísima-km0/01277
Celler,Vins,Blancs,DO Catalunya,,VINYA DEL MAR Caixa de vi blanc sec DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/vinya-del-mar-caixa-de-vi-blanc-sec-do-catalunya-km0/32163
Celler,Vins,Blancs,DO Catalunya,,VINA SOL Caixa vi blanc DO Catalunya ecologic Km0,20241104,,4.5kg,https://www.compraonline.bonpreuesclat.cat/products/viña-sol-caixa-vi-blanc-do-catalunya-ecològic-km0/67532
Celler,Vins,Blancs,DO Catalunya,,NITS DE BOIRA Caixa vi negre DO Catalunya Km0 ecologic,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/nits-de-boira-caixa-vi-negre-do-catalunya-km0-ecològic/22119
Celler,Vins,Blancs,DO Catalunya,,C.MARMERALT Caixa vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/c-marmeralt-caixa-vi-blanc-do-catalunya-km0/22224
Celler,Vins,Blancs,DO Catalunya,,BACH Vi blanc sec DO Catalunya Extrisima Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/bach-vi-blanc-sec-do-catalunya-extrísima-km0/54011
Celler,Vins,Blancs,DO Catalunya,,VINYA DEL MAR Caixa de vi blanc semi dolc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/vinya-del-mar-caixa-de-vi-blanc-semi-dolç-do-catalunya-km0/32172
Celler,Vins,Blancs,DO Catalunya,,RAMON ROQUETA Caixa de vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/ramon-roqueta-caixa-de-vi-blanc-do-catalunya-km0/69190
Celler,Vins,Blancs,DO Catalunya,,CONDE DE CARALT Caixa de vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/conde-de-caralt-caixa-de-vi-blanc-do-catalunya-km0/57462
Celler,Vins,Blancs,DO Catalunya,,RAMON ROQUETA Caixa de vi blanc Garnatxa Blanca DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/ramon-roqueta-caixa-de-vi-blanc-garnatxa-blanca-do-catalunya-km0/69199
Celler,Vins,Blancs,DO Catalunya,,BACH Caixa de vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/bach-caixa-de-vi-blanc-do-catalunya-km0/76449
Celler,Vins,Blancs,DO Catalunya,,TERRA CALIDA Caixa de vi blanc DO Catalunya Km0,20241104,,4.5L,https://www.compraonline.bonpreuesclat.cat/products/terra-càlida-caixa-de-vi-blanc-do-catalunya-km0/76485
Celler,Vins,Blancs,DO Catalunya,,VINYA DEL MAR Vi blanc semi dolc DO Catalunya,20241104,1.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/vinya-del-mar-vi-blanc-semi-dolç-do-catalunya/07015
Celler,Vins,Blancs,DO Catalunya,,VINYA DEL MAR Vi blanc sec DO Catalunya,20241104,1.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/vinya-del-mar-vi-blanc-sec-do-catalunya/22669
Celler,Vins,Blancs,DO Catalunya,,VINA SOL Vi blanc DO Catalunya ecologic Km0,20241104,5.89,0.75L,https://www.compraonline.bonpreuesclat.cat/products/viña-sol-vi-blanc-do-catalunya-ecològic-km0/01274
Celler,Vins,Blancs,DO Catalunya,,CASTELL MARMERALT Vi blanc DO Catalunya Km0,20241104,2.39,0.75L,https://www.compraonline.bonpreuesclat.cat/products/castell-marmeralt-vi-blanc-do-catalunya-km0/81115
Celler,Vins,Blancs,DO Catalunya,,TERRA CALIDA Vi blanc DO Catalunya Km0,20241104,4.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/terra-càlida-vi-blanc-do-catalunya-km0/80411
Celler,Vins,Blancs,DO Catalunya,,CONDE DE CARALT Vi blanc DO Catalunya Km0,20241104,4.29,0.75L,https://www.compraonline.bonpreuesclat.cat/products/conde-de-caralt-vi-blanc-do-catalunya-km0/26927
Celler,Vins,Blancs,DO Catalunya,,RAMON ROQUETA Vi blanc Garnatxa Blanca DO Catalunya Km0,20241104,5.99,0.75L,https://www.compraonline.bonpreuesclat.cat/products/ramon-roqueta-vi-blanc-garnatxa-blanca-do-catalunya-km0/63096
