Category,Subcategory_1,Subcategory_2,Subcategory_3,Subcategory_4,Product Name,Date,Price,Quantity (kg|L),URL
Frescos,Fruites i verdures,De temporada,Fruita,, Magrana Km0 1 u,20241104,0.59,,https://www.compraonline.bonpreuesclat.cat/products/magrana-km0-1-u/82289
Frescos,Fruites i verdures,De temporada,Fruita,, Xirimoia 1 u.,20241104,0.79,,https://www.compraonline.bonpreuesclat.cat/products/xirimoia-1-u/82272
Frescos,Fruites i verdures,De temporada,Fruita,, Codony Km0 1 un.,20241104,0.65,,https://www.compraonline.bonpreuesclat.cat/products/codony-km0-1-un/51566
Frescos,Fruites i verdures,De temporada,Fruita,, Magrana Km0 1 u,20241104,0.59,0.27kg,https://www.compraonline.bonpreuesclat.cat/products/magrana-km0-1-u/07390
Frescos,Fruites i verdures,De temporada,Fruita,, Xirimoia 1 u,20241104,0.69,0.3kg,https://www.compraonline.bonpreuesclat.cat/products/xirimoia-1-u/07456
Frescos,Fruites i verdures,De temporada,Fruita,, Codony Km0 1 u.,20241104,0.64,0.32kg,https://www.compraonline.bonpreuesclat.cat/products/codony-km0-1-u/07604
Frescos,Fruites i verdures,De temporada,Fruita,, Castanyes en paquet de 500 g,20241104,2.9,0.5kg,https://www.compraonline.bonpreuesclat.cat/products/castanyes-en-paquet-de-500-g/01038
Frescos,Fruites i verdures,De temporada,Fruita,, Pera Conference Km0 1 u.,20241104,0.49,,https://www.compraonline.bonpreuesclat.cat/products/pera-conference-km0-1-u/82244
Frescos,Fruites i verdures,De temporada,Fruita,, Mandarina 1u.,20241104,0.29,,https://www.compraonline.bonpreuesclat.cat/products/mandarina-1u/03654
Frescos,Fruites i verdures,De temporada,Fruita,, Poma Golden Km0 1 u.,20241104,0.43,,https://www.compraonline.bonpreuesclat.cat/products/poma-golden-km0-1-u/82073
