Category,Subcategory_1,Subcategory_2,Subcategory_3,Subcategory_4,Product Name,Date,Price,Quantity (kg|L),URL
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,TERRA I TAST Llet sencera Km0 en ampolla,20241104,1.19,1L,https://www.compraonline.bonpreuesclat.cat/products/terra-i-tast-llet-sencera-km0-en-ampolla/78259
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ASTURIANA Llet sencera en cartro,20241104,1.11,1L,https://www.compraonline.bonpreuesclat.cat/products/asturiana-llet-sencera-en-cartró/22338
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ASTURIANA Llet sencera 6x1L en cartro,20241104,6.66,6L,https://www.compraonline.bonpreuesclat.cat/products/asturiana-llet-sencera-6x1l-en-cartró/31044
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,PASCUAL Llet sencera en cartro,20241104,1.14,1L,https://www.compraonline.bonpreuesclat.cat/products/pascual-llet-sencera-en-cartró/27616
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,PASCUAL Llet sencera 6x1L en cartro,20241104,6.84,6L,https://www.compraonline.bonpreuesclat.cat/products/pascual-llet-sencera-6x1l-en-cartró/45229
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,PULEVA Llet sencera,20241104,1.0,1L,https://www.compraonline.bonpreuesclat.cat/products/puleva-llet-sencera/75886
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,TERRA I TAST Pack llet sencera Km0 6x1L en cartro,20241104,7.14,6 x 1 per paquet,https://www.compraonline.bonpreuesclat.cat/products/terra-i-tast-pack-llet-sencera-km0-6x1l-en-cartró/09919
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,BONPREU Llet sencera en cartro,20241104,0.92,1L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llet-sencera-en-cartró/81177
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,BONPREU Llet sencera 6x1L en cartro,20241104,5.52,6L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llet-sencera-6x1l-en-cartró/23597
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,LLET NOSTRA Llet sencera en cartro,20241104,1.21,1L,https://www.compraonline.bonpreuesclat.cat/products/llet-nostra-llet-sencera-en-cartró/81731
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ATO Llet sencera en cartro,20241104,1.42,3 x 0.2L,https://www.compraonline.bonpreuesclat.cat/products/ato-llet-sencera-en-cartró/54411
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ATO Llet sencera en cartro,20241104,1.22,1L,https://www.compraonline.bonpreuesclat.cat/products/ato-llet-sencera-en-cartró/04445
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,LLET NOSTRA Llet sencera 6x1L en cartro,20241104,7.26,6L,https://www.compraonline.bonpreuesclat.cat/products/llet-nostra-llet-sencera-6x1l-en-cartró/25075
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,BONPREU Llet sencera ecologica UHT en cartro,20241104,1.25,1L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llet-sencera-ecològica-uht-en-cartró/28171
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ATO NATURA Llet sencera 6x1L en cartro,20241104,7.32,6L,https://www.compraonline.bonpreuesclat.cat/products/ato-natura-llet-sencera-6x1l-en-cartró/25069
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ATO Llet sencera ecologica en cartro,20241104,1.71,1L,https://www.compraonline.bonpreuesclat.cat/products/ato-llet-sencera-ecològica-en-cartró/75531
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,BONPREU Llet sencera ecologica UHT 6x1 L en cartro,20241104,7.5,6L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llet-sencera-ecològica-uht-6x1-l-en-cartró/81520
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,BONPREU Llet sencera en ampolla,20241104,1.5,1.5L,https://www.compraonline.bonpreuesclat.cat/products/bonpreu-llet-sencera-en-ampolla/85792
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ASTURIANA Llet sencera en ampolla,20241104,1.82,1.5L,https://www.compraonline.bonpreuesclat.cat/products/asturiana-llet-sencera-en-ampolla/22327
Lactics i ous,Llets i begudes vegetals,Llet sencera,,,ATO Llet sencera en ampolla,20241104,1.86,1.5L,https://www.compraonline.bonpreuesclat.cat/products/ato-llet-sencera-en-ampolla/12880
